CWD_Barcod,Kill_Date,Township,Range,Range_Dir,Section,Quarter_Se,Deer_Sex,DTRSQ,X,Y
245374,11/1/2009,6,5,4,4,1,M,406050410,-89.90284123,43.0277679
245419,10/17/2009,4,5,4,10,1,F,404051010,-89.88232831,42.83861978
245430,10/16/2009,6,6,4,6,1,F,406060610,-89.82423059,43.02816886
2455,7/13/2002,7,6,4,5,1,F,407060510,-89.80408932,43.11495324
245508,11/27/2013,7,5,4,21,3,M,407052130,-89.91209715,43.0639239
245515,11/27/2013,6,6,4,4,1,F,406060410,-89.78496509,43.02824839
245516,11/26/2013,6,6,4,3,1,M,406060310,-89.76517592,43.02828187
245531,11/24/2013,7,5,4,24,4,M,407052440,-89.84299887,43.06373941
245535,11/24/2013,7,6,4,29,3,F,407062930,-89.81412139,43.049798
245551,11/24/2013,5,6,4,21,4,M,405062140,-89.78448589,42.88985191
245556,11/23/2013,7,5,4,11,3,M,407051130,-89.87244514,43.09274167
245563,11/23/2013,6,6,4,2,1,M,406060210,-89.74542051,43.02829868
245590,11/15/2013,7,3,4,1,4,M,407030140,-90.07882215,43.10873898
245626,11/17/2012,9,3,4,10,2,M,409031020,-90.12824115,43.27471377
245659,11/18/2012,5,8,4,1,4,M,405080140,-89.49015002,42.93214754
245661,11/18/2012,7,3,4,3,1,M,407030310,-90.11849938,43.11544276
245676,11/19/2012,5,6,4,29,1,F,405062910,-89.80414451,42.88276391
245705,11/18/2012,7,5,4,8,3,M,407050830,-89.93160039,43.09258341
245795,9/30/2012,10,2,4,14,1,M,410021410,-90.21678154,43.34735827
245823,11/9/2012,10,3,4,6,1,M,410030610,-90.17718233,43.37638379
245826,11/17/2012,8,2,4,32,1,M,408023210,-90.27564155,43.12997697
245879,11/2/2011,9,3,4,4,5,M,409030400,-90.14310009,43.28569576
245899,11/28/2010,9,2,4,15,9,M,409021500,-90.24207216,43.25675569
245926,11/22/2010,8,3,4,34,1,M,408033410,-90.11843914,43.1293595
246256,12/26/2008,8,6,4,30,1,M,408063010,-89.82369994,43.14397653
246316,11/1/2009,7,4,4,2,3,M,407040230,-89.9906401,43.10746055
246326,11/5/2009,9,3,4,14,4,M,409031440,-90.0984787,43.25334298
246336,11/6/2009,8,3,4,25,2,F,408032520,-90.08873951,43.14368487
246339,11/8/2009,7,4,4,12,2,M,407041220,-89.97092343,43.09998748
246347,11/11/2009,8,2,4,31,2,M,408023120,-90.30510432,43.13005793
246348,11/15/2009,8,5,4,20,2,M,408052020,-89.93221502,43.15788319
246351,11/1/2009,7,5,4,12,3,M,407051230,-89.85276946,43.09280556
246392,10/25/2009,8,5,4,34,4,F,408053440,-89.88266507,43.1218214
246429,10/10/2009,7,3,4,34,2,F,407033420,-90.12760633,43.04377086
246433,10/11/2009,7,4,4,3,1,F,407040310,-90.00044728,43.11475105
246443,10/12/2009,9,4,4,31,2,F,409043120,-90.06879615,43.21697576
246486,9/26/2009,7,4,4,16,1,F,407041610,-90.02016966,43.08638453
246503,11/28/2010,6,6,4,33,2,M,406063320,-89.79462017,42.95572294
246509,12/10/2010,7,3,4,3,1,F,407030310,-90.11849938,43.11544276
246531,12/27/2010,7,6,4,19,1,F,407061910,-89.82399524,43.07117712
246535,10/22/2011,7,6,4,19,1,F,407061910,-89.82399524,43.07117712
246555,1/6/2011,7,3,4,12,1,F,407031210,-90.07871133,43.10150996
246556,1/6/2011,7,3,4,12,1,F,407031210,-90.07871133,43.10150996
246578,1/21/2011,7,3,4,12,1,F,407031210,-90.07871133,43.10150996
246593,9/23/2011,6,2,4,23,1,M,406022310,-90.21657079,42.98531444
246601,10/10/2011,7,3,4,3,1,F,407030310,-90.11849938,43.11544276
246623,10/22/2011,7,3,4,3,1,F,407030310,-90.11849938,43.11544276
246676,11/24/2010,7,6,4,26,1,M,407062610,-89.74516971,43.05731834
246905,11/21/2010,7,4,4,18,2,F,407041820,-90.06898945,43.08686623
246932,10/31/2010,8,3,4,28,1,F,408032810,-90.13820672,43.14403891
246957,11/23/2014,2,5,4,17,1,F,402051710,-89.9211453,42.6503674
247349,9/20/2010,3,14,4,11,2,F,403141120,-88.81286863,42.73696157
248665,10/8/2014,4,16,4,22,4,F,404162240,-88.58778097,42.78844747
248756,11/22/2014,10,5,4,20,1,M,410052010,-89.92192565,43.33320792
248759,11/22/2014,11,8,4,36,7,M,411083600,-89.49160177,43.38843439
248844,10/28/2014,10,4,4,16,3,M,410041630,-90.02908296,43.34010739
248924,11/20/2011,10,2,4,19,7,M,410021900,-90.30127436,43.32938882
249540,11/28/2009,8,4,4,6,2,F,408040620,-90.06878954,43.20163776
249557,12/5/2009,7,4,4,7,3,F,407040730,-90.06906434,43.09407172
249575,11/28/2009,8,3,4,18,3,F,408031830,-90.18776356,43.16585282
249634,11/23/2009,7,3,4,22,4,F,407032240,-90.11774081,43.06548167
249653,11/27/2009,8,4,4,26,2,M,408042620,-89.99056143,43.14351488
249743,11/21/2009,7,4,4,6,2,M,407040620,-90.06918511,43.11532408
249776,11/24/2013,8,5,4,33,3,M,408053330,-89.9124488,43.12171417
250076,3/7/2015,5,14,4,29,4,M,405142940,-88.8612878,42.86296219
250197,11/29/2008,3,15,4,26,4,F,403152640,-88.68435589,42.68659143
250198,11/29/2008,3,15,4,26,4,F,403152640,-88.68435589,42.68659143
250225,12/26/2008,1,16,4,4,2,F,401160420,-88.61466648,42.57845486
250867,12/26/2014,8,3,4,33,1,F,408033310,-90.13798132,43.12955694
250870,4/11/2012,5,15,4,32,3,F,405153230,-88.75315575,42.84634192
250977,11/26/2011,3,15,4,5,2,M,403150520,-88.75511237,42.75125244
250999,11/27/2011,4,13,4,13,4,M,404131340,-88.9011312,42.80475221
251933,11/7/2011,7,5,4,17,3,M,407051730,-89.93161059,43.07823456
251941,11/13/2011,3,5,4,1,3,M,403050130,-89.85326661,42.75933006
251946,11/16/2011,7,5,4,8,4,M,407050840,-89.92180798,43.09262442
251976,10/29/2011,8,8,4,26,3,M,408082630,-89.5165243,43.13699095
252166,11/24/2009,8,2,4,23,2,F,408022320,-90.22697486,43.15870492
252174,11/22/2009,9,3,4,32,1,M,409033210,-90.15789787,43.21741194
252390,10/1/2012,4,13,4,3,4,M,404130340,-88.9395888,42.83462788
252511,12/26/2011,8,5,4,36,1,M,408053610,-89.8429989,43.12935102
252531,12/17/2011,7,8,4,18,1,M,407081810,-89.58629413,43.08564537
252547,11/19/2012,4,5,4,10,1,M,404051010,-89.88232831,42.83861978
252560,1/8/2012,7,3,4,3,1,F,407030310,-90.11849938,43.11544276
252580,11/27/2011,6,6,4,3,1,F,406060310,-89.76517592,43.02828187
252685,10/28/2011,7,4,4,23,2,M,407042320,-89.99054193,43.07145956
252698,10/26/2011,7,4,4,7,3,M,407040730,-90.06906434,43.09407172
252744,12/31/2011,8,5,4,34,2,M,408053420,-89.89258179,43.12901192
